ï»¿Country,Name,Goals,Expected Goals (xG),Big chances missed,Successful dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %,Rating,Big chances created,Total passes,Accurate final third passes,Accurate long balls,Assists,Accurate passes %,Key passes,Accurate long balls %,Accurate own half passes,Accurate crosses,Passes to assist,Accurate passes,Inaccurate passes,Accurate opposition half passes,Accurate crosses %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets,Ground duels won,Total duels won,Aerial duels won %,Minutes played,Appearances,Aerial duels won,Age
Portugal,Bruno Fernandes,2,1.12,0,3,75,8,3,4,1,25,1,1,0,0,0,1,1,0,0,2,2,1,100,0,8.38,5,201,72,23,3,87.56,9,82.14,58,7,0,176,25,125,26.92,4,2,0,4,0,0,0,3,1,15,17,18.18,357,4,2,28
Argentina,Lionel Messi,7,6.62,3,15,55.56,32,18,11,3,21.88,5,4,1,3,0,6,1,0,6,1,0,3,80,0,8.27,7,347,150,13,3,85.01,21,68.42,65,5,0,295,52,235,25,5,0,0,0,0,0,0,2,3,40,44,36.36,690,7,4,35
Poland,Wojciech SzczÄsny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93,0,129,11,41,0,55.04,0,41.41,38,0,0,71,58,33,0,0,0,1,6,0,0,0,0,2,1,3,66.67,360,4,2,32
Germany,Kai Havertz,2,1.36,0,0,0,5,3,2,0,40,0,0,0,0,0,2,0,0,1,1,0,3,0,0,7.75,1,32,13,1,0,81.25,2,100,8,1,0,26,6,19,50,1,1,0,0,0,0,0,1,0,1,1,0,103,2,0,23
Cameroon,Jean-Charles Castelletto,1,0.95,0,1,100,1,1,0,0,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.75,1,79,7,6,1,83.54,1,50,41,0,0,66,13,25,0,3,6,0,12,0,0,0,1,0,5,8,75,180,2,3,26
Germany,Joshua Kimmich,0,0.36,0,1,25,7,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.73,4,240,65,19,0,90.83,10,79.17,81,4,1,218,22,141,19.05,5,3,0,1,0,0,0,3,0,8,12,80,270,3,4,27
Ghana,Mohammed Kudus,2,0.83,0,10,71.43,8,4,2,2,25,0,0,1,0,0,2,0,1,1,0,1,1,0,0,7.7,0,79,21,6,0,75.95,0,75,24,1,0,60,19,37,16.67,5,1,0,0,0,0,0,1,0,20,20,0,249,3,0,21
France,Antoine Griezmann,0,0.67,1,4,44.44,6,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7.7,7,285,83,19,3,83.86,22,86.36,88,18,0,239,46,169,45,14,8,0,7,0,0,0,2,1,27,32,55.56,537,7,5,31
Tunisia,Nader Ghandri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.7,0,33,0,0,0,81.82,0,0,21,0,0,27,6,6,0,2,1,0,4,0,0,0,0,1,3,5,66.67,90,1,2,29
France,Kylian MbappÃ©,8,5.26,5,25,52.08,31,14,7,10,25.81,2,2,0,1,0,8,0,1,0,7,0,6,100,0,7.61,2,200,92,7,2,82,11,63.64,24,5,0,164,36,145,20,0,0,0,0,0,0,0,0,1,32,33,20,597,7,1,24
England,Bukayo Saka,3,0.64,0,2,25,7,5,2,0,42.86,0,0,1,0,0,3,0,0,3,0,0,2,0,0,7.6,1,101,33,2,0,79.21,5,66.67,25,3,0,80,21,58,60,7,2,0,2,0,0,0,1,0,15,16,50,293,4,1,21
South Korea,Seung-Ho Paik,1,0.04,0,0,0,1,1,0,0,100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.6,0,27,7,1,0,74.07,0,100,8,0,0,20,7,12,0,3,0,0,0,0,0,0,0,0,3,4,100,25,1,1,25
Cameroon,Devis Epassy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,72,3,25,0,65.28,0,50,26,0,0,47,25,21,0,0,0,0,2,0,0,0,0,1,0,3,100,180,2,3,24
Spain,Rodri,0,0.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,1,684,66,26,0,93.27,4,60.47,317,1,0,638,46,322,50,5,3,0,9,0,0,0,0,2,6,22,76.19,390,4,16,26
France,Eduardo Camavinga,0,0,0,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,88,19,1,0,86.36,3,16.67,35,1,0,76,12,42,50,14,3,0,6,0,0,0,1,0,23,25,100,139,2,2,20
Denmark,Andreas Christensen,1,0.36,0,0,0,2,1,0,1,50,0,0,0,0,0,1,0,1,0,0,0,1,0,0,7.53,0,251,16,15,0,94.42,0,71.43,160,0,0,237,14,77,0,4,4,0,9,0,0,0,0,1,5,11,60,270,3,6,26
Brazil,Casemiro,1,0.42,0,1,50,9,3,3,3,11.11,0,0,0,1,0,1,0,0,0,1,1,0,0,0,7.5,0,248,53,11,0,83.06,4,52.38,92,2,0,206,42,116,100,11,7,0,5,0,0,0,2,2,15,18,50,390,4,3,30
Cameroon,Enzo Ebosse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,37,2,4,0,91.89,0,66.67,26,0,0,34,3,8,0,4,0,0,5,0,0,0,0,1,4,6,100,90,1,2,24
Portugal,Diogo Dalot,0,0.04,0,1,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,1,119,23,8,1,79.83,4,50,43,2,0,95,24,54,22.22,8,2,0,1,0,0,0,0,0,10,16,66.67,259,3,6,23
Brazil,Richarlison,3,2.11,1,0,0,8,4,1,3,37.5,0,0,1,0,0,3,0,0,1,2,0,1,0,0,7.45,3,56,22,0,0,71.43,6,0,13,0,0,40,16,27,0,2,1,0,4,0,0,0,0,0,8,12,33.33,326,4,4,25
Iran,Mehdi Taremi,2,1.34,1,1,20,6,3,2,1,33.33,1,1,0,0,0,2,0,0,0,2,0,1,100,0,7.43,1,78,21,3,1,74.36,9,75,25,0,0,58,20,33,0,4,2,0,3,0,0,0,3,1,9,14,41.67,270,3,5,29
Mexico,Hirving Lozano,0,0.19,0,5,62.5,6,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7.43,2,50,19,1,0,72,8,33.33,7,4,0,36,14,33,16.67,7,0,0,1,0,0,0,1,1,23,24,9.09,253,3,1,27
Netherlands,Cody Gakpo,3,0.31,0,5,50,5,3,0,2,60,0,0,0,0,0,2,1,1,1,1,0,3,0,0,7.42,0,110,43,0,0,73.64,10,0,17,8,0,81,29,72,24.24,8,3,0,6,0,0,0,1,0,18,23,50,453,5,5,23
